,barcode,oh_nr,type,type_nr,oh_value,cathode_nr,cathode_point,cathode_point_x_std,cathode_point_y_std,anode_nr,anode_point,anode_point_x_std,anode_point_y_std
0,1,0,left,0,1.141,0,"[314, 987]",409.686,36.884,0,"[380, 725]",397.896,36.115
1,1,1,left,1,1.268,1,"[355, 1002]",409.686,36.884,1,"[412, 707]",397.896,36.115
2,1,2,left,2,1.349,2,"[397, 1018]",409.686,36.884,2,"[437, 701]",397.896,36.115
3,1,3,left,3,1.231,3,"[441, 1000]",409.686,36.884,3,"[460, 709]",397.896,36.115
4,1,4,left,4,1.136,4,"[485, 985]",409.686,36.884,4,"[483, 716]",397.896,36.115
5,1,5,left,5,1.222,5,"[530, 1015]",409.686,36.884,5,"[512, 726]",397.896,36.115
6,1,6,left,6,1.152,6,"[574, 988]",409.686,36.884,6,"[552, 716]",397.896,36.115
7,1,7,left,7,1.37,7,"[619, 1033]",409.686,36.884,7,"[599, 709]",397.896,36.115
8,1,8,left,8,1.29,8,"[662, 1011]",409.686,36.884,8,"[643, 706]",397.896,36.115
9,1,9,left,9,1.215,9,"[706, 984]",409.686,36.884,9,"[686, 697]",397.896,36.115
10,1,10,left,10,1.345,10,"[753, 1016]",409.686,36.884,10,"[735, 698]",397.896,36.115
11,1,11,left,11,1.244,11,"[796, 957]",409.686,36.884,11,"[775, 663]",397.896,36.115
12,1,12,left,12,1.167,12,"[844, 963]",409.686,36.884,12,"[830, 687]",397.896,36.115
13,1,13,left,13,1.246,13,"[888, 973]",409.686,36.884,13,"[879, 678]",397.896,36.115
14,1,14,left,14,1.255,14,"[934, 982]",409.686,36.884,14,"[922, 685]",397.896,36.115
15,1,15,left,15,1.202,15,"[978, 1006]",409.686,36.884,15,"[959, 722]",397.896,36.115
16,1,16,left,16,1.366,16,"[1017, 978]",409.686,36.884,16,"[998, 655]",397.896,36.115
17,1,17,left,17,1.247,17,"[1060, 953]",409.686,36.884,17,"[1043, 658]",397.896,36.115
18,1,18,left,18,1.165,18,"[1105, 936]",409.686,36.884,18,"[1083, 661]",397.896,36.115
19,1,19,left,19,1.244,19,"[1153, 949]",409.686,36.884,19,"[1133, 655]",397.896,36.115
20,1,20,left,20,1.295,20,"[1198, 961]",409.686,36.884,20,"[1177, 655]",397.896,36.115
21,1,21,left,21,1.23,21,"[1242, 927]",409.686,36.884,21,"[1215, 637]",397.896,36.115
22,1,22,left,22,1.252,22,"[1287, 920]",409.686,36.884,22,"[1268, 624]",397.896,36.115
23,1,23,left,23,1.319,23,"[1334, 935]",409.686,36.884,23,"[1317, 623]",397.896,36.115
24,1,24,left,24,1.289,24,"[1378, 925]",409.686,36.884,24,"[1365, 620]",397.896,36.115
25,1,25,left,25,1.291,25,"[1424, 940]",409.686,36.884,25,"[1402, 635]",397.896,36.115
26,1,26,left,26,1.347,26,"[1466, 950]",409.686,36.884,26,"[1440, 632]",397.896,36.115
27,1,27,left,27,1.156,27,"[1509, 913]",409.686,36.884,27,"[1478, 641]",397.896,36.115
28,1,28,left,28,1.373,28,"[1553, 952]",409.686,36.884,28,"[1515, 629]",397.896,36.115
29,1,29,left,29,1.16,29,"[1592, 901]",409.686,36.884,29,"[1547, 630]",397.896,36.115
30,1,30,left,30,1.119,30,"[1636, 904]",409.686,36.884,30,"[1575, 646]",397.896,36.115
31,1,31,left,31,1.305,31,"[1679, 906]",409.686,36.884,31,"[1590, 610]",397.896,36.115
32,1,32,right,0,1.252,0,"[314, 987]",409.686,36.884,1,"[412, 707]",397.896,36.115
33,1,33,right,1,1.317,1,"[355, 1002]",409.686,36.884,2,"[437, 701]",397.896,36.115
34,1,34,right,2,1.331,2,"[397, 1018]",409.686,36.884,3,"[460, 709]",397.896,36.115
35,1,35,right,3,1.212,3,"[441, 1000]",409.686,36.884,4,"[483, 716]",397.896,36.115
36,1,36,right,4,1.099,4,"[485, 985]",409.686,36.884,5,"[512, 726]",397.896,36.115
37,1,37,right,5,1.266,5,"[530, 1015]",409.686,36.884,6,"[552, 716]",397.896,36.115
38,1,38,right,6,1.183,6,"[574, 988]",409.686,36.884,7,"[599, 709]",397.896,36.115
39,1,39,right,7,1.384,7,"[619, 1033]",409.686,36.884,8,"[643, 706]",397.896,36.115
40,1,40,right,8,1.329,8,"[662, 1011]",409.686,36.884,9,"[686, 697]",397.896,36.115
41,1,41,right,9,1.214,9,"[706, 984]",409.686,36.884,10,"[735, 698]",397.896,36.115
42,1,42,right,10,1.493,10,"[753, 1016]",409.686,36.884,11,"[775, 663]",397.896,36.115
43,1,43,right,11,1.149,11,"[796, 957]",409.686,36.884,12,"[830, 687]",397.896,36.115
44,1,44,right,12,1.212,12,"[844, 963]",409.686,36.884,13,"[879, 678]",397.896,36.115
45,1,45,right,13,1.224,13,"[888, 973]",409.686,36.884,14,"[922, 685]",397.896,36.115
46,1,46,right,14,1.103,14,"[934, 982]",409.686,36.884,15,"[959, 722]",397.896,36.115
47,1,47,right,15,1.484,15,"[978, 1006]",409.686,36.884,16,"[998, 655]",397.896,36.115
48,1,48,right,16,1.355,16,"[1017, 978]",409.686,36.884,17,"[1043, 658]",397.896,36.115
49,1,49,right,17,1.237,17,"[1060, 953]",409.686,36.884,18,"[1083, 661]",397.896,36.115
50,1,50,right,18,1.192,18,"[1105, 936]",409.686,36.884,19,"[1133, 655]",397.896,36.115
51,1,51,right,19,1.245,19,"[1153, 949]",409.686,36.884,20,"[1177, 655]",397.896,36.115
52,1,52,right,20,1.37,20,"[1198, 961]",409.686,36.884,21,"[1215, 637]",397.896,36.115
53,1,53,right,21,1.284,21,"[1242, 927]",409.686,36.884,22,"[1268, 624]",397.896,36.115
54,1,54,right,22,1.26,22,"[1287, 920]",409.686,36.884,23,"[1317, 623]",397.896,36.115
55,1,55,right,23,1.336,23,"[1334, 935]",409.686,36.884,24,"[1365, 620]",397.896,36.115
56,1,56,right,24,1.228,24,"[1378, 925]",409.686,36.884,25,"[1402, 635]",397.896,36.115
57,1,57,right,25,1.302,25,"[1424, 940]",409.686,36.884,26,"[1440, 632]",397.896,36.115
58,1,58,right,26,1.305,26,"[1466, 950]",409.686,36.884,27,"[1478, 641]",397.896,36.115
59,1,59,right,27,1.199,27,"[1509, 913]",409.686,36.884,28,"[1515, 629]",397.896,36.115
60,1,60,right,28,1.36,28,"[1553, 952]",409.686,36.884,29,"[1547, 630]",397.896,36.115
61,1,61,right,29,1.079,29,"[1592, 901]",409.686,36.884,30,"[1575, 646]",397.896,36.115
62,1,62,right,30,1.256,30,"[1636, 904]",409.686,36.884,31,"[1590, 610]",397.896,36.115
63,1,63,right,31,1.179,31,"[1679, 906]",409.686,36.884,32,"[1620, 633]",397.896,36.115
