,barcode,oh_nr,type,type_nr,oh_value,cathode_nr,cathode_point,cathode_point_x_std,cathode_point_y_std,anode_nr,anode_point,anode_point_x_std,anode_point_y_std
0,11,0,left,0,1.194,0,"[245, 757]",337.678,21.5,0,"[303, 525]",329.807,23.386
1,11,1,left,1,1.397,1,"[278, 769]",337.678,21.5,1,"[330, 494]",329.807,23.386
2,11,2,left,2,1.299,2,"[313, 777]",337.678,21.5,2,"[347, 519]",329.807,23.386
3,11,3,left,3,1.22,3,"[349, 785]",337.678,21.5,3,"[363, 541]",329.807,23.386
4,11,4,left,4,1.148,4,"[383, 778]",337.678,21.5,4,"[383, 548]",329.807,23.386
5,11,5,left,5,1.001,5,"[420, 753]",337.678,21.5,5,"[406, 553]",329.807,23.386
6,11,6,left,6,1.137,6,"[457, 780]",337.678,21.5,6,"[437, 553]",329.807,23.386
7,11,7,left,7,1.029,7,"[494, 777]",337.678,21.5,7,"[472, 572]",329.807,23.386
8,11,8,left,8,1.203,8,"[531, 785]",337.678,21.5,8,"[508, 545]",329.807,23.386
9,11,9,left,9,1.143,9,"[568, 782]",337.678,21.5,9,"[538, 555]",329.807,23.386
10,11,10,left,10,1.12,10,"[603, 779]",337.678,21.5,10,"[579, 556]",329.807,23.386
11,11,11,left,11,0.998,11,"[637, 753]",337.678,21.5,11,"[609, 555]",329.807,23.386
12,11,12,left,12,0.996,12,"[676, 746]",337.678,21.5,12,"[651, 548]",329.807,23.386
13,11,13,left,13,1.003,13,"[713, 767]",337.678,21.5,13,"[693, 567]",329.807,23.386
14,11,14,left,14,1.209,14,"[751, 789]",337.678,21.5,14,"[727, 548]",329.807,23.386
15,11,15,left,15,1.057,15,"[784, 768]",337.678,21.5,15,"[757, 558]",329.807,23.386
16,11,16,left,16,0.76,16,"[821, 712]",337.678,21.5,16,"[790, 563]",329.807,23.386
17,11,17,left,17,0.934,17,"[861, 750]",337.678,21.5,17,"[840, 564]",329.807,23.386
18,11,18,left,18,0.986,18,"[899, 758]",337.678,21.5,18,"[874, 562]",329.807,23.386
19,11,19,left,19,1.053,19,"[936, 766]",337.678,21.5,19,"[908, 557]",329.807,23.386
20,11,20,left,20,1.007,20,"[972, 748]",337.678,21.5,20,"[939, 549]",329.807,23.386
21,11,21,left,21,1.147,21,"[1009, 759]",337.678,21.5,21,"[981, 531]",329.807,23.386
22,11,22,left,22,1.064,22,"[1045, 761]",337.678,21.5,22,"[1023, 549]",329.807,23.386
23,11,23,left,23,0.983,23,"[1081, 748]",337.678,21.5,23,"[1061, 552]",329.807,23.386
24,11,24,left,24,1.019,24,"[1119, 735]",337.678,21.5,24,"[1098, 532]",329.807,23.386
25,11,25,left,25,1.03,25,"[1156, 730]",337.678,21.5,25,"[1133, 525]",329.807,23.386
26,11,26,left,26,1.053,26,"[1193, 737]",337.678,21.5,26,"[1173, 527]",329.807,23.386
27,11,27,left,27,1.126,27,"[1229, 730]",337.678,21.5,27,"[1203, 506]",329.807,23.386
28,11,28,left,28,1.092,28,"[1265, 734]",337.678,21.5,28,"[1246, 516]",329.807,23.386
29,11,29,left,29,1.198,29,"[1301, 741]",337.678,21.5,29,"[1270, 503]",329.807,23.386
30,11,30,left,30,1.285,30,"[1335, 742]",337.678,21.5,30,"[1287, 489]",329.807,23.386
31,11,31,left,31,1.116,31,"[1363, 701]",337.678,21.5,31,"[1305, 485]",329.807,23.386
32,11,32,right,0,1.38,0,"[245, 757]",337.678,21.5,1,"[330, 494]",329.807,23.386
33,11,33,right,1,1.295,1,"[278, 769]",337.678,21.5,2,"[347, 519]",329.807,23.386
34,11,34,right,2,1.204,2,"[313, 777]",337.678,21.5,3,"[363, 541]",329.807,23.386
35,11,35,right,3,1.195,3,"[349, 785]",337.678,21.5,4,"[383, 548]",329.807,23.386
36,11,36,right,4,1.129,4,"[383, 778]",337.678,21.5,5,"[406, 553]",329.807,23.386
37,11,37,right,5,1.002,5,"[420, 753]",337.678,21.5,6,"[437, 553]",329.807,23.386
38,11,38,right,6,1.041,6,"[457, 780]",337.678,21.5,7,"[472, 572]",329.807,23.386
39,11,39,right,7,1.16,7,"[494, 777]",337.678,21.5,8,"[508, 545]",329.807,23.386
40,11,40,right,8,1.149,8,"[531, 785]",337.678,21.5,9,"[538, 555]",329.807,23.386
41,11,41,right,9,1.129,9,"[568, 782]",337.678,21.5,10,"[579, 556]",329.807,23.386
42,11,42,right,10,1.119,10,"[603, 779]",337.678,21.5,11,"[609, 555]",329.807,23.386
43,11,43,right,11,1.026,11,"[637, 753]",337.678,21.5,12,"[651, 548]",329.807,23.386
44,11,44,right,12,0.898,12,"[676, 746]",337.678,21.5,13,"[693, 567]",329.807,23.386
45,11,45,right,13,1.095,13,"[713, 767]",337.678,21.5,14,"[727, 548]",329.807,23.386
46,11,46,right,14,1.153,14,"[751, 789]",337.678,21.5,15,"[757, 558]",329.807,23.386
47,11,47,right,15,1.024,15,"[784, 768]",337.678,21.5,16,"[790, 563]",329.807,23.386
