,barcode,oh_nr,type,type_nr,oh_value,cathode_nr,cathode_point,cathode_point_x_std,cathode_point_y_std,anode_nr,anode_point,anode_point_x_std,anode_point_y_std
0,9,0,left,0,1.358,0,"[189, 659]",253.015,16.541,0,"[236, 465]",243.022,22.206
1,9,1,left,1,1.442,1,"[213, 670]",253.015,16.541,1,"[258, 463]",243.022,22.206
2,9,2,left,2,1.353,2,"[238, 653]",253.015,16.541,2,"[277, 458]",243.022,22.206
3,9,3,left,3,1.217,3,"[266, 629]",253.015,16.541,3,"[292, 452]",243.022,22.206
4,9,4,left,4,1.16,4,"[294, 623]",253.015,16.541,4,"[307, 453]",243.022,22.206
5,9,5,left,5,1.273,5,"[321, 635]",253.015,16.541,5,"[324, 448]",243.022,22.206
6,9,6,left,6,1.198,6,"[348, 622]",253.015,16.541,6,"[345, 446]",243.022,22.206
7,9,7,left,7,1.245,7,"[376, 625]",253.015,16.541,7,"[375, 442]",243.022,22.206
8,9,8,left,8,1.204,8,"[404, 620]",253.015,16.541,8,"[404, 443]",243.022,22.206
9,9,9,left,9,1.191,9,"[432, 615]",253.015,16.541,9,"[431, 440]",243.022,22.206
10,9,10,left,10,1.205,10,"[460, 616]",253.015,16.541,10,"[459, 439]",243.022,22.206
11,9,11,left,11,1.3,11,"[487, 627]",253.015,16.541,11,"[488, 436]",243.022,22.206
12,9,12,left,12,1.102,12,"[516, 603]",253.015,16.541,12,"[514, 441]",243.022,22.206
13,9,13,left,13,1.293,13,"[543, 628]",253.015,16.541,13,"[544, 438]",243.022,22.206
14,9,14,left,14,1.157,14,"[570, 627]",253.015,16.541,14,"[567, 457]",243.022,22.206
15,9,15,left,15,1.313,15,"[597, 624]",253.015,16.541,15,"[597, 431]",243.022,22.206
16,9,16,left,16,1.307,16,"[624, 624]",253.015,16.541,16,"[623, 432]",243.022,22.206
17,9,17,left,17,1.164,17,"[654, 602]",253.015,16.541,17,"[648, 431]",243.022,22.206
18,9,18,left,18,1.117,18,"[682, 613]",253.015,16.541,18,"[677, 449]",243.022,22.206
19,9,19,left,19,1.259,19,"[709, 610]",253.015,16.541,19,"[707, 425]",243.022,22.206
20,9,20,left,20,1.409,20,"[736, 631]",253.015,16.541,20,"[738, 424]",243.022,22.206
21,9,21,left,21,1.456,21,"[763, 635]",253.015,16.541,21,"[764, 421]",243.022,22.206
22,9,22,left,22,1.456,22,"[789, 631]",253.015,16.541,22,"[788, 417]",243.022,22.206
23,9,23,left,23,1.402,23,"[815, 628]",253.015,16.541,23,"[813, 422]",243.022,22.206
24,9,24,left,24,1.565,24,"[843, 637]",253.015,16.541,24,"[846, 407]",243.022,22.206
25,9,25,left,25,1.422,25,"[870, 630]",253.015,16.541,25,"[871, 421]",243.022,22.206
26,9,26,left,26,1.613,26,"[898, 640]",253.015,16.541,26,"[897, 403]",243.022,22.206
27,9,27,left,27,1.566,27,"[925, 635]",253.015,16.541,27,"[916, 405]",243.022,22.206
28,9,28,left,28,1.924,28,"[952, 670]",253.015,16.541,28,"[931, 388]",243.022,22.206
29,9,29,left,29,1.721,29,"[979, 647]",253.015,16.541,29,"[948, 396]",243.022,22.206
30,9,30,left,30,1.781,30,"[1007, 657]",253.015,16.541,30,"[963, 399]",243.022,22.206
31,9,31,left,31,1.791,31,"[1032, 636]",253.015,16.541,31,"[975, 379]",243.022,22.206
32,9,32,right,0,1.414,0,"[189, 659]",253.015,16.541,1,"[258, 463]",243.022,22.206
33,9,33,right,1,1.507,1,"[213, 670]",253.015,16.541,2,"[277, 458]",243.022,22.206
34,9,34,right,2,1.416,2,"[238, 653]",253.015,16.541,3,"[292, 452]",243.022,22.206
35,9,35,right,3,1.23,3,"[266, 629]",253.015,16.541,4,"[307, 453]",243.022,22.206
36,9,36,right,4,1.208,4,"[294, 623]",253.015,16.541,5,"[324, 448]",243.022,22.206
37,9,37,right,5,1.296,5,"[321, 635]",253.015,16.541,6,"[345, 446]",243.022,22.206
38,9,38,right,6,1.239,6,"[348, 622]",253.015,16.541,7,"[375, 442]",243.022,22.206
39,9,39,right,7,1.253,7,"[376, 625]",253.015,16.541,8,"[404, 443]",243.022,22.206
40,9,40,right,8,1.239,8,"[404, 620]",253.015,16.541,9,"[431, 440]",243.022,22.206
41,9,41,right,9,1.212,9,"[432, 615]",253.015,16.541,10,"[459, 439]",243.022,22.206
42,9,42,right,10,1.24,10,"[460, 616]",253.015,16.541,11,"[488, 436]",243.022,22.206
43,9,43,right,11,1.279,11,"[487, 627]",253.015,16.541,12,"[514, 441]",243.022,22.206
44,9,44,right,12,1.139,12,"[516, 603]",253.015,16.541,13,"[544, 438]",243.022,22.206
45,9,45,right,13,1.175,13,"[543, 628]",253.015,16.541,14,"[567, 457]",243.022,22.206
46,9,46,right,14,1.346,14,"[570, 627]",253.015,16.541,15,"[597, 431]",243.022,22.206
47,9,47,right,15,1.318,15,"[597, 624]",253.015,16.541,16,"[623, 432]",243.022,22.206
48,9,48,right,16,1.323,16,"[624, 624]",253.015,16.541,17,"[648, 431]",243.022,22.206
49,9,49,right,17,1.053,17,"[654, 602]",253.015,16.541,18,"[677, 449]",243.022,22.206
50,9,50,right,18,1.291,18,"[682, 613]",253.015,16.541,19,"[707, 425]",243.022,22.206
51,9,51,right,19,1.281,19,"[709, 610]",253.015,16.541,20,"[738, 424]",243.022,22.206
52,9,52,right,20,1.442,20,"[736, 631]",253.015,16.541,21,"[764, 421]",243.022,22.206
53,9,53,right,21,1.493,21,"[763, 635]",253.015,16.541,22,"[788, 417]",243.022,22.206
54,9,54,right,22,1.432,22,"[789, 631]",253.015,16.541,23,"[813, 422]",243.022,22.206
55,9,55,right,23,1.519,23,"[815, 628]",253.015,16.541,24,"[846, 407]",243.022,22.206
56,9,56,right,24,1.482,24,"[843, 637]",253.015,16.541,25,"[871, 421]",243.022,22.206
57,9,57,right,25,1.556,25,"[870, 630]",253.015,16.541,26,"[897, 403]",243.022,22.206
58,9,58,right,26,1.604,26,"[898, 640]",253.015,16.541,27,"[916, 405]",243.022,22.206
59,9,59,right,27,1.681,27,"[925, 635]",253.015,16.541,28,"[931, 388]",243.022,22.206
60,9,60,right,28,1.865,28,"[952, 670]",253.015,16.541,29,"[948, 396]",243.022,22.206
61,9,61,right,29,1.691,29,"[979, 647]",253.015,16.541,30,"[963, 399]",243.022,22.206
62,9,62,right,30,1.904,30,"[1007, 657]",253.015,16.541,31,"[975, 379]",243.022,22.206
63,9,63,right,31,1.633,31,"[1032, 636]",253.015,16.541,32,"[994, 399]",243.022,22.206
