,barcode,oh_nr,type,type_nr,oh_value,cathode_nr,cathode_point,cathode_point_x_std,cathode_point_y_std,anode_nr,anode_point,anode_point_x_std,anode_point_y_std
52,14,52,right,20,1.271,20,"[1204, 1032]",388.852,39.396,21,"[1215, 740]",388.165,29.815
53,14,53,right,21,1.242,21,"[1245, 1015]",388.852,39.396,22,"[1264, 730]",388.165,29.815
54,14,54,right,22,1.162,22,"[1288, 983]",388.852,39.396,23,"[1299, 716]",388.165,29.815
55,14,55,right,23,1.174,23,"[1333, 995]",388.852,39.396,24,"[1355, 726]",388.165,29.815
56,14,56,right,24,1.432,24,"[1375, 1051]",388.852,39.396,25,"[1387, 722]",388.165,29.815
57,14,57,right,25,1.148,25,"[1416, 979]",388.852,39.396,26,"[1440, 716]",388.165,29.815
58,14,58,right,26,1.34,26,"[1461, 1033]",388.852,39.396,27,"[1473, 725]",388.165,29.815
59,14,59,right,27,1.166,27,"[1503, 1000]",388.852,39.396,28,"[1527, 733]",388.165,29.815
60,14,60,right,28,1.363,28,"[1547, 1026]",388.852,39.396,29,"[1565, 713]",388.165,29.815
61,14,61,right,29,1.075,29,"[1585, 965]",388.852,39.396,30,"[1595, 718]",388.165,29.815
62,14,62,right,30,0.935,30,"[1627, 947]",388.852,39.396,31,"[1623, 732]",388.165,29.815
63,14,63,right,31,0.676,31,"[1668, 960]",388.852,39.396,32,"[1656, 805]",388.165,29.815
