,barcode,oh_nr,type,type_nr,oh_value,cathode_nr,cathode_point,cathode_point_x_std,cathode_point_y_std,anode_nr,anode_point,anode_point_x_std,anode_point_y_std
0,17,0,left,0,0.975,0,"[286, 701]",305.198,27.813,0,"[306, 530]",300.797,28.37
1,17,1,left,1,1.225,1,"[317, 724]",305.198,27.813,1,"[328, 508]",300.797,28.37
2,17,2,left,2,0.925,2,"[350, 684]",305.198,27.813,2,"[360, 521]",300.797,28.37
3,17,3,left,3,0.974,3,"[383, 699]",305.198,27.813,3,"[381, 527]",300.797,28.37
4,17,4,left,4,1.116,4,"[415, 726]",305.198,27.813,4,"[409, 529]",300.797,28.37
5,17,5,left,5,1.09,5,"[449, 739]",305.198,27.813,5,"[434, 547]",300.797,28.37
6,17,6,left,6,1.171,6,"[482, 730]",305.198,27.813,6,"[463, 524]",300.797,28.37
7,17,7,left,7,1.167,7,"[515, 733]",305.198,27.813,7,"[494, 528]",300.797,28.37
8,17,8,left,8,1.144,8,"[547, 729]",305.198,27.813,8,"[527, 528]",300.797,28.37
9,17,9,left,9,1.138,9,"[581, 737]",305.198,27.813,9,"[561, 537]",300.797,28.37
10,17,10,left,10,1.032,10,"[613, 732]",305.198,27.813,10,"[592, 551]",300.797,28.37
11,17,11,left,11,1.099,11,"[646, 725]",305.198,27.813,11,"[626, 532]",300.797,28.37
12,17,12,left,12,1.003,12,"[681, 729]",305.198,27.813,12,"[661, 553]",300.797,28.37
13,17,13,left,13,0.992,13,"[712, 723]",305.198,27.813,13,"[692, 549]",300.797,28.37
14,17,14,left,14,1.123,14,"[746, 723]",305.198,27.813,14,"[723, 526]",300.797,28.37
15,17,15,left,15,0.949,15,"[780, 719]",305.198,27.813,15,"[757, 553]",300.797,28.37
16,17,16,left,16,0.917,16,"[814, 719]",305.198,27.813,16,"[789, 559]",300.797,28.37
17,17,17,left,17,0.942,17,"[847, 719]",305.198,27.813,17,"[814, 556]",300.797,28.37
18,17,18,left,18,1.153,18,"[880, 724]",305.198,27.813,18,"[854, 522]",300.797,28.37
19,17,19,left,19,0.947,19,"[913, 715]",305.198,27.813,19,"[886, 550]",300.797,28.37
20,17,20,left,20,1.069,20,"[947, 723]",305.198,27.813,20,"[921, 536]",300.797,28.37
21,17,21,left,21,1.016,21,"[979, 722]",305.198,27.813,21,"[956, 544]",300.797,28.37
22,17,22,left,22,1.159,22,"[1011, 722]",305.198,27.813,22,"[985, 519]",300.797,28.37
23,17,23,left,23,1.131,23,"[1045, 719]",305.198,27.813,23,"[1018, 521]",300.797,28.37
24,17,24,left,24,1.152,24,"[1079, 713]",305.198,27.813,24,"[1054, 511]",300.797,28.37
25,17,25,left,25,1.079,25,"[1112, 701]",305.198,27.813,25,"[1087, 512]",300.797,28.37
26,17,26,left,26,1.185,26,"[1145, 708]",305.198,27.813,26,"[1121, 500]",300.797,28.37
27,17,27,left,27,0.951,27,"[1176, 666]",305.198,27.813,27,"[1150, 500]",300.797,28.37
28,17,28,left,28,0.996,28,"[1210, 669]",305.198,27.813,28,"[1184, 495]",300.797,28.37
