,barcode,oh_nr,type,type_nr,oh_value,cathode_nr,cathode_point,cathode_point_x_std,cathode_point_y_std,anode_nr,anode_point,anode_point_x_std,anode_point_y_std
0,22,0,left,0,0.926,0,"[198, 558]",250.537,15.737,0,"[231, 426]",241.034,6.614
1,22,1,left,1,1.337,1,"[210, 609]",250.537,15.737,1,"[252, 417]",241.034,6.614
2,22,2,left,2,1.108,2,"[237, 579]",250.537,15.737,2,"[267, 419]",241.034,6.614
3,22,3,left,3,1.246,3,"[263, 591]",250.537,15.737,3,"[283, 409]",241.034,6.614
4,22,4,left,4,1.329,4,"[290, 598]",250.537,15.737,4,"[300, 403]",241.034,6.614
5,22,5,left,5,1.286,5,"[317, 593]",250.537,15.737,5,"[319, 404]",241.034,6.614
6,22,6,left,6,1.279,6,"[345, 598]",250.537,15.737,6,"[345, 410]",241.034,6.614
7,22,7,left,7,1.042,7,"[373, 569]",250.537,15.737,7,"[369, 416]",241.034,6.614
8,22,8,left,8,1.035,8,"[401, 585]",250.537,15.737,8,"[397, 433]",241.034,6.614
9,22,9,left,9,1.191,9,"[429, 591]",250.537,15.737,9,"[428, 416]",241.034,6.614
10,22,10,left,10,1.211,10,"[456, 594]",250.537,15.737,10,"[457, 416]",241.034,6.614
11,22,11,left,11,1.157,11,"[483, 589]",250.537,15.737,11,"[484, 419]",241.034,6.614
12,22,12,left,12,1.198,12,"[509, 608]",250.537,15.737,12,"[508, 432]",241.034,6.614
13,22,13,left,13,1.266,13,"[537, 599]",250.537,15.737,13,"[541, 413]",241.034,6.614
14,22,14,left,14,1.266,14,"[565, 599]",250.537,15.737,14,"[564, 413]",241.034,6.614
15,22,15,left,15,1.259,15,"[591, 599]",250.537,15.737,15,"[590, 414]",241.034,6.614
16,22,16,left,16,1.103,16,"[619, 584]",250.537,15.737,16,"[614, 422]",241.034,6.614
17,22,17,left,17,1.211,17,"[646, 594]",250.537,15.737,17,"[643, 416]",241.034,6.614
18,22,18,left,18,1.205,18,"[674, 588]",250.537,15.737,18,"[670, 411]",241.034,6.614
19,22,19,left,19,1.279,19,"[699, 602]",250.537,15.737,19,"[699, 414]",241.034,6.614
20,22,20,left,20,1.279,20,"[726, 600]",250.537,15.737,20,"[728, 412]",241.034,6.614
21,22,21,left,21,1.239,21,"[754, 592]",250.537,15.737,21,"[754, 410]",241.034,6.614
22,22,22,left,22,1.327,22,"[780, 604]",250.537,15.737,22,"[781, 409]",241.034,6.614
23,22,23,left,23,1.245,23,"[809, 594]",250.537,15.737,23,"[806, 411]",241.034,6.614
24,22,24,left,24,1.239,24,"[837, 592]",250.537,15.737,24,"[833, 410]",241.034,6.614
25,22,25,left,25,1.423,25,"[864, 620]",250.537,15.737,25,"[859, 411]",241.034,6.614
26,22,26,left,26,1.24,26,"[891, 593]",250.537,15.737,26,"[881, 411]",241.034,6.614
27,22,27,left,27,1.242,27,"[918, 591]",250.537,15.737,27,"[905, 409]",241.034,6.614
28,22,28,left,28,1.241,28,"[945, 589]",250.537,15.737,28,"[923, 408]",241.034,6.614
29,22,29,left,29,1.299,29,"[971, 600]",250.537,15.737,29,"[938, 412]",241.034,6.614
30,22,30,left,30,1.555,30,"[998, 634]",250.537,15.737,30,"[953, 410]",241.034,6.614
31,22,31,left,31,1.639,31,"[1025, 645]",250.537,15.737,31,"[968, 411]",241.034,6.614
