,barcode,oh_nr,type,type_nr,oh_value,cathode_nr,cathode_point,cathode_point_x_std,cathode_point_y_std,anode_nr,anode_point,anode_point_x_std,anode_point_y_std
0,12,0,left,0,1.555,0,"[429, 991]",398.32,28.842,0,"[523, 646]",382.583,25.114
1,12,1,left,1,1.589,1,"[470, 994]",398.32,28.842,1,"[548, 637]",382.583,25.114
2,12,2,left,2,1.516,2,"[511, 1005]",398.32,28.842,2,"[568, 661]",382.583,25.114
3,12,3,left,3,1.405,3,"[553, 991]",398.32,28.842,3,"[590, 670]",382.583,25.114
4,12,4,left,4,1.306,4,"[597, 971]",398.32,28.842,4,"[611, 671]",382.583,25.114
5,12,5,left,5,1.379,5,"[641, 996]",398.32,28.842,5,"[634, 679]",382.583,25.114
6,12,6,left,6,1.501,6,"[684, 1018]",398.32,28.842,6,"[670, 673]",382.583,25.114
7,12,7,left,7,1.403,7,"[728, 996]",398.32,28.842,7,"[707, 674]",382.583,25.114
8,12,8,left,8,1.434,8,"[774, 1006]",398.32,28.842,8,"[751, 677]",382.583,25.114
9,12,9,left,9,1.261,9,"[816, 986]",398.32,28.842,9,"[793, 697]",382.583,25.114
10,12,10,left,10,1.225,10,"[861, 996]",398.32,28.842,10,"[840, 715]",382.583,25.114
11,12,11,left,11,1.396,11,"[906, 1000]",398.32,28.842,11,"[881, 680]",382.583,25.114
12,12,12,left,12,1.412,12,"[949, 1012]",398.32,28.842,12,"[927, 688]",382.583,25.114
13,12,13,left,13,1.42,13,"[992, 1017]",398.32,28.842,13,"[971, 691]",382.583,25.114
14,12,14,left,14,1.251,14,"[1033, 988]",398.32,28.842,14,"[1013, 701]",382.583,25.114
15,12,15,left,15,1.457,15,"[1078, 1022]",398.32,28.842,15,"[1073, 687]",382.583,25.114
16,12,16,left,16,1.294,16,"[1119, 1024]",398.32,28.842,16,"[1099, 727]",382.583,25.114
17,12,17,left,17,1.507,17,"[1162, 1036]",398.32,28.842,17,"[1141, 690]",382.583,25.114
18,12,18,left,18,1.395,18,"[1205, 996]",398.32,28.842,18,"[1183, 676]",382.583,25.114
19,12,19,left,19,1.525,19,"[1249, 1017]",398.32,28.842,19,"[1227, 667]",382.583,25.114
20,12,20,left,20,1.482,20,"[1293, 1024]",398.32,28.842,20,"[1270, 684]",382.583,25.114
21,12,21,left,21,1.385,21,"[1338, 1000]",398.32,28.842,21,"[1319, 682]",382.583,25.114
22,12,22,left,22,1.391,22,"[1381, 1008]",398.32,28.842,22,"[1358, 689]",382.583,25.114
23,12,23,left,23,1.563,23,"[1423, 1047]",398.32,28.842,23,"[1404, 688]",382.583,25.114
24,12,24,left,24,1.537,24,"[1463, 1063]",398.32,28.842,24,"[1445, 710]",382.583,25.114
25,12,25,left,25,1.404,25,"[1506, 1041]",398.32,28.842,25,"[1483, 719]",382.583,25.114
26,12,26,left,26,1.573,26,"[1549, 1098]",398.32,28.842,26,"[1527, 737]",382.583,25.114
27,12,27,left,27,1.465,27,"[1591, 1035]",398.32,28.842,27,"[1555, 700]",382.583,25.114
28,12,28,left,28,1.574,28,"[1636, 1079]",398.32,28.842,28,"[1582, 721]",382.583,25.114
29,12,29,left,29,1.509,29,"[1677, 1067]",398.32,28.842,29,"[1631, 723]",382.583,25.114
30,12,30,left,30,1.306,30,"[1715, 1003]",398.32,28.842,30,"[1659, 708]",382.583,25.114
31,12,31,left,31,1.613,31,"[1760, 1042]",398.32,28.842,31,"[1688, 678]",382.583,25.114
32,12,32,right,0,1.624,0,"[429, 991]",398.32,28.842,1,"[548, 637]",382.583,25.114
33,12,33,right,1,1.509,1,"[470, 994]",398.32,28.842,2,"[568, 661]",382.583,25.114
34,12,34,right,2,1.497,2,"[511, 1005]",398.32,28.842,3,"[590, 670]",382.583,25.114
35,12,35,right,3,1.414,3,"[553, 991]",398.32,28.842,4,"[611, 671]",382.583,25.114
36,12,36,right,4,1.28,4,"[597, 971]",398.32,28.842,5,"[634, 679]",382.583,25.114
37,12,37,right,5,1.41,5,"[641, 996]",398.32,28.842,6,"[670, 673]",382.583,25.114
38,12,38,right,6,1.499,6,"[684, 1018]",398.32,28.842,7,"[707, 674]",382.583,25.114
39,12,39,right,7,1.391,7,"[728, 996]",398.32,28.842,8,"[751, 677]",382.583,25.114
40,12,40,right,8,1.346,8,"[774, 1006]",398.32,28.842,9,"[793, 697]",382.583,25.114
41,12,41,right,9,1.183,9,"[816, 986]",398.32,28.842,10,"[840, 715]",382.583,25.114
42,12,42,right,10,1.377,10,"[861, 996]",398.32,28.842,11,"[881, 680]",382.583,25.114
43,12,43,right,11,1.36,11,"[906, 1000]",398.32,28.842,12,"[927, 688]",382.583,25.114
44,12,44,right,12,1.399,12,"[949, 1012]",398.32,28.842,13,"[971, 691]",382.583,25.114
45,12,45,right,13,1.377,13,"[992, 1017]",398.32,28.842,14,"[1013, 701]",382.583,25.114
46,12,46,right,14,1.32,14,"[1033, 988]",398.32,28.842,15,"[1073, 687]",382.583,25.114
47,12,47,right,15,1.286,15,"[1078, 1022]",398.32,28.842,16,"[1099, 727]",382.583,25.114
48,12,48,right,16,1.455,16,"[1119, 1024]",398.32,28.842,17,"[1141, 690]",382.583,25.114
49,12,49,right,17,1.568,17,"[1162, 1036]",398.32,28.842,18,"[1183, 676]",382.583,25.114
50,12,50,right,18,1.434,18,"[1205, 996]",398.32,28.842,19,"[1227, 667]",382.583,25.114
51,12,51,right,19,1.451,19,"[1249, 1017]",398.32,28.842,20,"[1270, 684]",382.583,25.114
52,12,52,right,20,1.491,20,"[1293, 1024]",398.32,28.842,21,"[1319, 682]",382.583,25.114
53,12,53,right,21,1.355,21,"[1338, 1000]",398.32,28.842,22,"[1358, 689]",382.583,25.114
54,12,54,right,22,1.395,22,"[1381, 1008]",398.32,28.842,23,"[1404, 688]",382.583,25.114
55,12,55,right,23,1.469,23,"[1423, 1047]",398.32,28.842,24,"[1445, 710]",382.583,25.114
56,12,56,right,24,1.498,24,"[1463, 1063]",398.32,28.842,25,"[1483, 719]",382.583,25.114
57,12,57,right,25,1.325,25,"[1506, 1041]",398.32,28.842,26,"[1527, 737]",382.583,25.114
58,12,58,right,26,1.731,26,"[1549, 1098]",398.32,28.842,27,"[1555, 700]",382.583,25.114
59,12,59,right,27,1.366,27,"[1591, 1035]",398.32,28.842,28,"[1582, 721]",382.583,25.114
60,12,60,right,28,1.548,28,"[1636, 1079]",398.32,28.842,29,"[1631, 723]",382.583,25.114
61,12,61,right,29,1.563,29,"[1677, 1067]",398.32,28.842,30,"[1659, 708]",382.583,25.114
62,12,62,right,30,1.418,30,"[1715, 1003]",398.32,28.842,31,"[1688, 678]",382.583,25.114
63,12,63,right,31,1.254,31,"[1760, 1042]",398.32,28.842,32,"[1716, 757]",382.583,25.114
